Timestamp(us),Sensor id,Value 0,Value 1,Value 2  
1.59983E+15,1,0.20118,-0.38429,-0.89456
1.59983E+15,2,0.12207,-0.06104,-0.12207
1.59983E+15,3,-12.12,-17.73,45.63
1.59983E+15,1,0.20215,-0.38527,-0.89456
1.59983E+15,2,-0.12207,-0.54933,-0.24415
1.59983E+15,1,0.20069,-0.38527,-0.89309
1.59983E+15,2,-0.24415,-0.67141,-0.30519
1.59983E+15,1,0.20215,-0.38478,-0.89554
1.59983E+15,2,0,-0.30519,-0.18311
1.59983E+15,1,0.20215,-0.38624,-0.89407
1.59983E+15,2,0.12207,-0.06104,-0.18311
1.59983E+15,1,0.20215,-0.38575,-0.89309
1.59983E+15,2,0,-0.18311,-0.24415
1.59983E+15,1,0.20313,-0.38478,-0.89554
1.59983E+15,2,0.12207,0,-0.06104
1.59983E+15,1,0.20167,-0.38575,-0.89358
1.59983E+15,2,-0.30519,-0.61037,-0.36622
1.59983E+15,1,0.20313,-0.38478,-0.897
1.59983E+15,2,0.06104,-0.12207,-0.06104
1.59983E+15,1,0.20362,-0.38575,-0.89309
1.59983E+15,2,-0.18311,-0.67141,-0.24415
1.59983E+15,1,0.20313,-0.38478,-0.89554
1.59983E+15,2,-0.18311,-0.54933,-0.24415
1.59983E+15,1,0.20215,-0.38624,-0.89505
1.59983E+15,2,-0.18311,-0.54933,-0.24415
1.59983E+15,1,0.20167,-0.38478,-0.89456
1.59983E+15,2,-0.06104,-0.42726,-0.24415
1.59983E+15,3,-12.1,-17.76,45.63
1.59983E+15,1,0.20215,-0.38527,-0.89456
1.59983E+15,2,-0.24415,-0.67141,-0.30519
1.59983E+15,1,0.20118,-0.38429,-0.89309
1.59983E+15,2,-0.12207,-0.36622,-0.18311
1.59983E+15,1,0.20118,-0.38575,-0.89456
1.59983E+15,2,-0.18311,-0.61037,-0.30519
1.59983E+15,1,0.20264,-0.38478,-0.89309
1.59983E+15,2,0,-0.36622,-0.24415
1.59983E+15,1,0.20215,-0.38575,-0.89407
1.59983E+15,2,-0.06104,-0.30519,-0.24415
1.59983E+15,1,0.20313,-0.38527,-0.89358
1.59983E+15,2,-0.12207,-0.4883,-0.24415
1.59983E+15,1,0.20313,-0.38527,-0.89505
1.59983E+15,2,-0.06104,-0.36622,-0.24415
1.59983E+15,1,0.20313,-0.38624,-0.89407
1.59983E+15,2,-0.30519,-0.73244,-0.30519
1.59983E+15,1,0.20264,-0.38527,-0.89456
1.59983E+15,2,-0.12207,-0.42726,-0.24415
1.59983E+15,1,0.20215,-0.38478,-0.89407
1.59983E+15,2,-0.12207,-0.42726,-0.24415
1.59983E+15,3,-12.15,-17.78,45.66
1.59983E+15,1,0.20264,-0.38527,-0.89358
1.59983E+15,2,-0.24415,-0.67141,-0.30519
1.59983E+15,1,0.20264,-0.38527,-0.89358
1.59983E+15,2,0.12207,-0.18311,-0.12207
1.59983E+15,1,0.20215,-0.38527,-0.89261
1.59983E+15,2,0,-0.24415,-0.18311
1.59983E+15,1,0.20215,-0.3838,-0.89407
1.59983E+15,2,-0.42726,-0.97659,-0.42726
1.59983E+15,1,0.20313,-0.38527,-0.89456
1.59983E+15,2,-0.18311,-0.4883,-0.30519
1.59983E+15,1,0.20313,-0.38429,-0.89407
1.59983E+15,2,0.18311,0,-0.12207
1.59983E+15,1,0.20313,-0.38429,-0.89358
1.59983E+15,2,-0.06104,-0.24415,-0.30519
1.59983E+15,1,0.20411,-0.38429,-0.89505
1.59983E+15,2,0,-0.36622,-0.18311
1.59983E+15,1,0.20411,-0.38527,-0.89554
1.59983E+15,2,-0.06104,-0.36622,-0.24415
1.59983E+15,1,0.20362,-0.38673,-0.897
1.59983E+15,2,-0.24415,-0.73244,-0.24415
1.59983E+15,1,0.20362,-0.38575,-0.89456
1.59983E+15,2,-0.30519,-0.79348,-0.24415
1.59983E+15,3,-12.12,-17.77,45.58
1.59983E+15,1,0.20362,-0.38527,-0.89554
1.59983E+15,2,0.18311,-0.12207,0
1.59983E+15,1,0.20313,-0.38478,-0.89505
1.59983E+15,2,-0.30519,-0.85452,-0.30519
1.59983E+15,1,0.20264,-0.38478,-0.89358
1.59983E+15,2,0.18311,-0.18311,-0.06104
1.59983E+15,1,0.20167,-0.38478,-0.89407
1.59983E+15,2,0,-0.42726,-0.12207
1.59983E+15,1,0.19922,-0.38527,-0.89407
1.59983E+15,2,0,-0.54933,-0.18311
1.59983E+15,1,0.19971,-0.38429,-0.89407
1.59983E+15,2,-0.24415,-0.79348,-0.24415
1.59983E+15,1,0.19971,-0.38478,-0.89212
1.59983E+15,2,-0.12207,-0.54933,-0.30519
1.59983E+15,1,0.20069,-0.38527,-0.89456
1.59983E+15,2,-0.18311,-0.54933,-0.36622
1.59983E+15,1,0.18409,-0.39503,-0.92386
1.59983E+15,2,-0.42726,-1.09867,0.12207
1.59983E+15,1,0.14014,-0.43019,-1.04691
1.59983E+15,2,-2.74667,-8.72829,2.86874
1.59983E+15,3,-12.12,-17.71,45.6
1.59983E+15,1,0.15137,-0.47414,-1.16849
1.59983E+15,2,-8.66726,-27.95495,9.888
1.59983E+15,1,0.11866,-0.48292,-1.24857
1.59983E+15,2,-12.32948,-47.30369,16.96829
1.59983E+15,1,0.1709,-0.46388,-1.189
1.59983E+15,2,-16.41896,-68.23939,24.47584
1.59983E+15,1,0.12989,-0.45558,-1.10208
1.59983E+15,2,-20.81362,-90.0296,31.92236
1.59983E+15,1,0.167,-0.42335,-1.02835
1.59983E+15,2,-26.18488,-105.83819,37.47673
1.59983E+15,1,0.1001,-0.44337,-1.07669
1.59983E+15,2,-28.6874,-114.07819,42.78695
1.59983E+15,1,0.1919,-0.41945,-0.99612
1.59983E+15,2,-31.12888,-120.48708,45.41154
1.59983E+15,1,0.10889,-0.38331,-1.00491
1.59983E+15,2,-28.87051,-126.40767,46.08295
1.59983E+15,1,0.10157,-0.3628,-0.85598
1.59983E+15,2,-28.99258,-125.06485,46.02191
1.59983E+15,1,0.11573,-0.31495,-0.75979
1.59983E+15,2,-27.0394,-115.29893,43.82458
1.59983E+15,3,-5.11,-16.2,45.2
1.59983E+15,1,0.02881,-0.29298,-0.79202
1.59983E+15,2,-24.17066,-104.25123,38.5754
1.59983E+15,1,-0.00049,-0.31593,-0.80227
1.59983E+15,2,-21.11881,-93.08145,34.05866
1.59983E+15,1,-0.00781,-0.3296,-0.89895
1.59983E+15,2,-18.49422,-88.07642,32.10547
1.59983E+15,1,-0.01514,-0.34913,-0.97317
1.59983E+15,2,-18.00592,-88.50368,31.25095
1.59983E+15,1,-0.00586,-0.35304,-0.99026
1.59983E+15,2,-18.37214,-92.71523,32.28858
1.59983E+15,1,-0.05518,-0.35255,-0.98929
1.59983E+15,2,-19.89807,-97.96442,33.32621
1.59983E+15,1,-0.0918,-0.33692,-0.95511
1.59983E+15,2,-19.34874,-96.25538,32.89895
1.59983E+15,1,-0.04639,-0.31642,-0.89065
1.59983E+15,2,-18.73836,-95.09568,32.77688
1.59983E+15,1,-0.05957,-0.32618,-0.86917
1.59983E+15,2,-18.31111,-92.59316,32.47169
1.59983E+15,1,-0.0835,-0.33302,-0.92972
1.59983E+15,2,-18.55525,-93.8139,33.50932
1.59983E+15,3,-18.95,-17.26,40.57
1.59983E+15,1,-0.07617,-0.33253,-0.92337
1.59983E+15,2,-19.04355,-93.26456,33.87555
1.59983E+15,1,-0.04883,-0.30811,-0.9219
1.59983E+15,2,-19.34874,-95.58397,35.40147
1.59983E+15,1,-0.09278,-0.29493,-0.90139
