Timestamp(us),Sensor id,Value 0,Value 1,Value 2  
1.59983E+15,1,0.20362,-0.38575,-0.89358
1.59983E+15,2,-0.12207,-0.30519,-0.24415
1.59983E+15,1,0.20313,-0.38527,-0.89602
1.59983E+15,2,-0.06104,-0.36622,-0.18311
1.59983E+15,1,0.20411,-0.38624,-0.89456
1.59983E+15,2,-0.18311,-0.54933,-0.18311
1.59983E+15,1,0.20313,-0.3838,-0.89456
1.59983E+15,2,-0.24415,-0.67141,-0.30519
1.59983E+15,1,0.20362,-0.38527,-0.89407
1.59983E+15,2,-0.06104,-0.42726,-0.18311
1.59983E+15,1,0.20313,-0.38478,-0.89358
1.59983E+15,2,-0.12207,-0.61037,-0.24415
1.59983E+15,1,0.20362,-0.38624,-0.89358
1.59983E+15,2,-0.06104,-0.36622,-0.24415
1.59983E+15,1,0.20167,-0.38527,-0.89407
1.59983E+15,2,-0.12207,-0.54933,-0.24415
1.59983E+15,3,-11.71,-17.88,45.59
1.59983E+15,1,0.20215,-0.38478,-0.89456
1.59983E+15,2,-0.06104,-0.42726,-0.24415
1.59983E+15,1,0.20215,-0.38478,-0.89407
1.59983E+15,2,-0.06104,-0.36622,-0.18311
1.59983E+15,1,0.20264,-0.38478,-0.89309
1.59983E+15,2,0,-0.30519,-0.24415
1.59983E+15,1,0.20215,-0.38478,-0.89505
1.59983E+15,2,0.06104,-0.30519,-0.18311
1.59983E+15,1,0.20313,-0.38527,-0.89554
1.59983E+15,2,-0.18311,-0.4883,-0.30519
1.59983E+15,1,0.20264,-0.38478,-0.89407
1.59983E+15,2,0.12207,-0.18311,-0.12207
1.59983E+15,1,0.20264,-0.38575,-0.89554
1.59983E+15,2,0.12207,-0.12207,-0.12207
1.59983E+15,1,0.20215,-0.38624,-0.89407
1.59983E+15,2,-0.18311,-0.42726,-0.18311
1.59983E+15,1,0.20215,-0.38478,-0.89456
1.59983E+15,2,-0.12207,-0.4883,-0.24415
1.59983E+15,1,0.20411,-0.38478,-0.89456
1.59983E+15,2,0,-0.24415,-0.18311
1.59983E+15,3,-11.77,-17.86,45.58
1.59983E+15,1,0.20362,-0.38478,-0.89505
1.59983E+15,2,-0.18311,-0.54933,-0.30519
1.59983E+15,1,0.20264,-0.38478,-0.89602
1.59983E+15,2,-0.18311,-0.67141,-0.30519
1.59983E+15,1,0.20313,-0.38575,-0.89261
1.59983E+15,2,0,-0.36622,-0.18311
1.59983E+15,1,0.20264,-0.38478,-0.89407
1.59983E+15,2,-0.06104,-0.4883,-0.18311
1.59983E+15,1,0.20215,-0.38575,-0.89554
1.59983E+15,2,-0.30519,-0.73244,-0.36622
1.59983E+15,1,0.20215,-0.38527,-0.89407
1.59983E+15,2,0.06104,-0.24415,-0.12207
1.59983E+15,1,0.20411,-0.38478,-0.89456
1.59983E+15,2,-0.18311,-0.54933,-0.24415
1.59983E+15,1,0.20069,-0.38575,-0.897
1.59983E+15,2,-0.24415,-0.61037,-0.30519
1.59983E+15,1,0.1753,-0.40089,-0.94534
1.59983E+15,2,-0.73244,-2.19733,0.54933
1.59983E+15,1,0.12452,-0.43947,-1.09134
1.59983E+15,2,-4.63881,-12.57363,4.21155
1.59983E+15,3,-11.8,-17.81,45.45
1.59983E+15,1,0.18116,-0.47072,-1.1558
1.59983E+15,2,-9.03348,-33.38725,11.90222
1.59983E+15,1,0.11328,-0.4922,-1.24857
1.59983E+15,2,-13.91644,-54.50606,19.16562
1.59983E+15,1,0.11866,-0.45656,-1.19388
1.59983E+15,2,-18.06696,-74.64827,25.8797
1.59983E+15,1,0.16163,-0.44435,-1.08792
1.59983E+15,2,-20.38636,-94.60738,33.26518
1.59983E+15,1,0.23682,-0.43556,-0.93997
1.59983E+15,2,-25.3914,-107.24204,37.53777
1.59983E+15,1,0.1709,-0.44142,-0.99905
1.59983E+15,2,-27.5277,-116.27552,43.09214
1.59983E+15,1,0.07569,-0.42042,-1.03226
1.59983E+15,2,-30.09125,-121.95196,45.16739
1.59983E+15,1,0.08448,-0.35987,-1.01859
1.59983E+15,2,-30.21332,-129.0933,47.12058
1.59983E+15,1,0.06153,-0.36232,-0.89895
1.59983E+15,2,-29.11466,-123.47789,46.02191
1.59983E+15,1,0.07324,-0.3296,-0.78372
1.59983E+15,2,-26.91733,-111.27049,43.09214
1.59983E+15,3,-5.76,-16.64,44.24
1.59983E+15,1,0.07422,-0.30421,-0.74368
1.59983E+15,2,-22.88888,-102.17597,37.84295
1.59983E+15,1,0.07715,-0.32569,-0.7886
1.59983E+15,2,-19.16562,-91.25034,33.50932
1.59983E+15,1,0.09815,-0.32325,-0.89505
1.59983E+15,2,-18.12799,-88.07642,31.55614
1.59983E+15,1,0.06787,-0.34669,-0.94485
1.59983E+15,2,-18.49422,-88.74783,31.18992
1.59983E+15,1,0.03125,-0.3379,-0.95071
1.59983E+15,2,-19.95911,-92.95938,32.04443
1.59983E+15,1,0.03467,-0.32276,-0.86673
1.59983E+15,2,-20.32533,-96.92679,33.50932
1.59983E+15,1,-0.0459,-0.3169,-0.88137
1.59983E+15,2,-20.26429,-95.82812,32.77688
1.59983E+15,1,-0.03027,-0.30909,-0.86477
1.59983E+15,2,-20.56948,-92.53212,31.43406
1.59983E+15,1,-0.05371,-0.32423,-0.88235
1.59983E+15,2,-20.08118,-89.23612,31.06784
1.59983E+15,1,-0.03809,-0.33204,-0.93704
1.59983E+15,2,-20.38636,-91.0062,32.65481
