\,Sensor id,Value 0,Value 1,Value 2  
1.59983E+15,1,0.20167,-0.38478,-0.89505
1.59983E+15,2,0,-0.18311,-0.12207
1.59983E+15,1,0.20167,-0.38478,-0.89358
1.59983E+15,2,-0.18311,-0.54933,-0.30519
1.59983E+15,3,-12.41,-17.88,45.37
1.59983E+15,1,0.20313,-0.38429,-0.89456
1.59983E+15,2,-0.06104,-0.36622,-0.24415
1.59983E+15,1,0.20215,-0.38478,-0.89505
1.59983E+15,2,0.06104,-0.24415,-0.18311
1.59983E+15,1,0.20264,-0.38478,-0.89456
1.59983E+15,2,0.24415,0,-0.06104
1.59983E+15,1,0.18653,-0.39405,-0.92434
1.59983E+15,2,-0.36622,-1.28178,0.18311
1.59983E+15,1,0.13477,-0.42872,-1.05716
1.59983E+15,2,-3.11289,-9.58281,3.05185
1.59983E+15,1,0.146,-0.48048,-1.16361
1.59983E+15,2,-8.54518,-28.32118,10.07111
1.59983E+15,1,0.1084,-0.48585,-1.25639
1.59983E+15,2,-12.87881,-48.21924,16.96829
1.59983E+15,1,0.1587,-0.46388,-1.1934
1.59983E+15,2,-16.96829,-69.5822,24.47584
1.59983E+15,1,0.12598,-0.45656,-1.10453
1.59983E+15,2,-20.87466,-90.70101,32.04443
1.59983E+15,1,0.17335,-0.42433,-1.01761
1.59983E+15,2,-26.30696,-105.89923,37.65984
1.59983E+15,3,-12.34,-17.98,45.41
1.59983E+15,1,0.10791,-0.44435,-1.06546
1.59983E+15,2,-28.87051,-114.68856,42.97006
1.59983E+15,1,0.17383,-0.42286,-1.0015
1.59983E+15,2,-30.94577,-120.05982,45.53362
1.59983E+15,1,0.09864,-0.38038,-1.0181
1.59983E+15,2,-29.60295,-126.65181,46.02191
1.59983E+15,1,0.08789,-0.35597,-0.88235
1.59983E+15,2,-28.80947,-124.45448,46.14399
1.59983E+15,1,0.10254,-0.31007,-0.77151
1.59983E+15,2,-27.0394,-114.13923,43.51939
1.59983E+15,1,0.02881,-0.30128,-0.78079
1.59983E+15,2,-24.47584,-103.64086,37.90399
1.59983E+15,1,0.00732,-0.32081,-0.79397
1.59983E+15,2,-21.6071,-92.53212,33.93658
1.59983E+15,1,0.00977,-0.32765,-0.89993
1.59983E+15,2,-18.43318,-88.68679,31.9834
1.59983E+15,1,0.00293,-0.34669,-0.96731
1.59983E+15,2,-17.76177,-89.17508,31.37303
1.59983E+15,1,0.00635,-0.34669,-0.98196
1.59983E+15,2,-18.31111,-93.3256,32.28858
1.59983E+15,3,-12.67,-17.18,43
1.59983E+15,1,-0.03955,-0.34278,-0.97513
1.59983E+15,2,-19.40977,-98.08649,33.75347
1.59983E+15,1,-0.08692,-0.33204,-0.95315
1.59983E+15,2,-19.04355,-95.95019,33.1431
1.59983E+15,1,-0.04395,-0.31642,-0.89114
1.59983E+15,2,-18.73836,-94.79049,32.71584
1.59983E+15,1,-0.05762,-0.32569,-0.87503
1.59983E+15,2,-18.49422,-92.47108,32.41066
1.59983E+15,1,-0.07715,-0.33399,-0.93558
1.59983E+15,2,-18.73836,-93.69182,33.57036
1.59983E+15,1,-0.07813,-0.33546,-0.92874
1.59983E+15,2,-19.47081,-93.08145,33.93658
1.59983E+15,1,-0.03809,-0.30909,-0.91849
1.59983E+15,2,-20.4474,-96.68264,35.21836
1.59983E+15,1,-0.08594,-0.29688,-0.87796
1.59983E+15,2,-21.66814,-97.72027,34.85214
1.59983E+15,1,-0.14405,-0.29395,-0.89846
1.59983E+15,2,-21.97333,-97.7813,34.7911
1.59983E+15,1,-0.2002,-0.29347,-0.91702
1.59983E+15,2,-23.92651,-96.6216,33.26518
1.59983E+15,3,-20.8,-16.34,40.67
1.59983E+15,1,-0.26514,-0.30909,-0.95218
1.59983E+15,2,-23.13303,-96.01123,34.24177
1.59983E+15,1,-0.27052,-0.28077,-0.95022
1.59983E+15,2,-23.19407,-95.09568,33.57036
1.59983E+15,1,-0.31349,-0.28321,-0.97269
1.59983E+15,2,-21.6071,-95.27879,33.99762
1.59983E+15,1,-0.30519,-0.26563,-0.93558
1.59983E+15,2,-20.63051,-93.02042,33.32621
1.59983E+15,1,-0.27442,-0.26563,-0.91604
1.59983E+15,2,-19.16562,-92.65419,32.83792
1.59983E+15,1,-0.27198,-0.26905,-0.92581
1.59983E+15,2,-18.73836,-92.77627,32.41066
1.59983E+15,1,-0.27149,-0.28907,-0.94046
1.59983E+15,2,-18.98251,-95.64501,33.50932
1.59983E+15,1,-0.26905,-0.28712,-0.90872
1.59983E+15,2,-20.38636,-97.65923,33.99762
1.59983E+15,1,-0.29542,-0.27979,-0.83987
1.59983E+15,2,-19.59288,-97.7813,34.60799
1.59983E+15,1,-0.31544,-0.24952,-0.77786
1.59983E+15,2,-19.40977,-95.95019,34.11969
1.59983E+15,1,-0.35255,-0.24903,-0.77053
1.59983E+15,2,-19.22666,-93.69182,32.95999
1.59983E+15,3,-30.36,-14.55,39.88
1.59983E+15,1,-0.33644,-0.24317,-0.76907
1.59983E+15,2,-18.92148,-91.43345,32.28858
1.59983E+15,1,-0.38331,-0.24903,-0.79788
1.59983E+15,2,-18.61629,-89.29716,31.9834
1.59983E+15,1,-0.39064,-0.24219,-0.81936
1.59983E+15,2,-19.53185,-90.21271,31.67821
1.59983E+15,1,-0.4673,-0.25684,-0.8511
1.59983E+15,2,-21.30192,-92.47108,31.80029
