Timestamp(us),Sensor id,Value 0,Value 1,Value 2  
1.59983E+15,1,0.20557,-0.37941,-0.89651
1.59983E+15,2,-0.12207,-0.42726,-0.24415
1.59983E+15,1,0.20557,-0.37989,-0.89651
1.59983E+15,2,-0.36622,-0.67141,-0.42726
1.59983E+15,1,0.20655,-0.38185,-0.89798
1.59983E+15,2,0.12207,-0.12207,-0.18311
1.59983E+15,1,0.20508,-0.38185,-0.89798
1.59983E+15,2,-0.06104,-0.36622,-0.24415
1.59983E+15,1,0.20508,-0.38185,-0.89651
1.59983E+15,2,-0.24415,-0.73244,-0.30519
1.59983E+15,1,0.20557,-0.38136,-0.89602
1.59983E+15,2,-0.18311,-0.67141,-0.24415
1.59983E+15,1,0.20411,-0.38136,-0.89554
1.59983E+15,2,0,-0.30519,-0.18311
1.59983E+15,1,0.20362,-0.38136,-0.89554
1.59983E+15,2,0.06104,-0.30519,-0.12207
1.59983E+15,1,0.2046,-0.38136,-0.89602
1.59983E+15,2,-0.4883,-1.03763,-0.36622
1.59983E+15,1,0.1753,-0.39552,-0.94143
1.59983E+15,2,-0.91556,-1.77007,0.06104
1.59983E+15,1,0.13721,-0.43849,-1.10697
1.59983E+15,2,-3.96741,-14.3437,5.31022
1.59983E+15,1,0.19874,-0.49123,-1.17191
1.59983E+15,2,-9.888,-38.02606,13.06192
1.59983E+15,1,0.16211,-0.54933,-1.35014
1.59983E+15,2,-19.71496,-73.12235,24.71999
1.59983E+15,1,0.14014,-0.5049,-1.36088
1.59983E+15,2,-26.12384,-105.65508,36.01184
1.59983E+15,1,0.17823,-0.46681,-1.18119
1.59983E+15,2,-31.43406,-130.68026,48.28028
1.59983E+15,1,0.08789,-0.44288,-1.06595
1.59983E+15,2,-35.82873,-147.52647,55.84887
1.59983E+15,1,0.06641,-0.41212,-1.04056
1.59983E+15,2,-37.65984,-156.98721,57.98517
1.59983E+15,1,0.23389,-0.39698,-0.98636
1.59983E+15,2,-40.16236,-166.93625,58.77865
1.59983E+15,1,0.24073,-0.38771,-0.95315
1.59983E+15,2,-37.96503,-173.03995,62.62398
1.59983E+15,1,0.18213,-0.33595,-0.80911
1.59983E+15,2,-37.78191,-172.12439,61.3422
1.59983E+15,1,0.04199,-0.31349,-0.80715
1.59983E+15,2,-34.85214,-164.79995,60.30457
1.59983E+15,1,-0.01318,-0.28614,-0.90384
1.59983E+15,2,-34.18073,-160.40529,56.58132
1.59983E+15,1,-0.05664,-0.33985,-0.95706
1.59983E+15,2,-34.3028,-153.01981,52.61391
1.59983E+15,1,-0.021,-0.33448,-0.93118
1.59983E+15,2,-32.77688,-147.03818,51.02695
1.59983E+15,1,-0.06397,-0.30519,-0.81643
1.59983E+15,2,-32.53273,-146.42781,51.69836
1.59983E+15,1,-0.16016,-0.28712,-0.81399
