Timestamp(us),Sensor id,Value 0,Value 1,Value 2  
1.59983E+15,1,0.20508,-0.37989,-0.897
1.59983E+15,2,0.12207,-0.24415,-0.12207
1.59983E+15,1,0.20508,-0.38185,-0.89554
1.59983E+15,2,-0.18311,-0.54933,-0.24415
1.59983E+15,1,0.2046,-0.38038,-0.89651
1.59983E+15,2,0,-0.18311,-0.12207
1.59983E+15,1,0.20362,-0.38087,-0.89554
1.59983E+15,2,0,-0.42726,-0.24415
1.59983E+15,1,0.2046,-0.38038,-0.89651
1.59983E+15,2,0.06104,-0.24415,-0.18311
1.59983E+15,1,0.20313,-0.38185,-0.89602
1.59983E+15,2,0,-0.24415,-0.18311
1.59983E+15,1,0.20557,-0.38087,-0.897
1.59983E+15,2,0,-0.30519,-0.18311
1.59983E+15,1,0.2046,-0.38185,-0.897
1.59983E+15,2,-0.54933,-0.91556,-0.42726
1.59983E+15,1,0.20411,-0.38136,-0.89651
1.59983E+15,2,-0.18311,-0.4883,-0.30519
1.59983E+15,1,0.2046,-0.38185,-0.89651
1.59983E+15,2,-0.24415,-0.61037,-0.30519
1.59983E+15,1,0.2046,-0.38038,-0.89651
1.59983E+15,2,-0.18311,-0.42726,-0.24415
1.59983E+15,1,0.20508,-0.38087,-0.89602
1.59983E+15,2,-0.24415,-0.67141,-0.30519
1.59983E+15,1,0.20508,-0.38087,-0.89554
1.59983E+15,2,0.06104,-0.18311,-0.18311
1.59983E+15,1,0.19874,-0.38282,-0.90677
1.59983E+15,2,-0.30519,-0.73244,-0.24415
1.59983E+15,1,0.12012,-0.42238,-1.05081
1.59983E+15,2,-2.1363,-6.1037,2.25837
1.59983E+15,1,0.11573,-0.47902,-1.21732
1.59983E+15,2,-7.62963,-26.97836,9.3997
1.59983E+15,1,0.05176,-0.51662,-1.43217
1.59983E+15,2,-16.05274,-53.16324,18.86044
1.59983E+15,1,0.18311,-0.50685,-1.33842
1.59983E+15,2,-21.48503,-90.39583,32.65481
1.59983E+15,1,0.16797,-0.52345,-1.16996
1.59983E+15,2,-28.07703,-120.97537,43.45836
1.59983E+15,1,0.08594,-0.45167,-1.09378
1.59983E+15,2,-33.02103,-138.24885,51.08798
1.59983E+15,1,0.16749,-0.38673,-1.04788
1.59983E+15,2,-36.9274,-153.38603,57.31376
1.59983E+15,1,0.14698,-0.37648,-1.04837
1.59983E+15,2,-38.69747,-168.21802,58.90072
1.59983E+15,1,0.07813,-0.44044,-1.08353
1.59983E+15,2,-39.2468,-173.9555,62.3188
1.59983E+15,1,0.07813,-0.37843,-0.97122
1.59983E+15,2,-38.88058,-173.71136,62.9902
1.59983E+15,1,-0.01025,-0.3379,-0.83157
1.59983E+15,2,-36.74429,-165.10514,60.1825
1.59983E+15,1,-0.02441,-0.29395,-0.87112
1.59983E+15,2,-35.64562,-158.33003,58.04621
1.59983E+15,1,0.10498,-0.29981,-0.82083
1.59983E+15,2,-34.3028,-156.19373,54.56709
1.59983E+15,1,0.07959,-0.32716,-0.897
1.59983E+15,2,-33.02103,-153.14188,52.9191
1.59983E+15,1,-0.10205,-0.33888,-0.93362
1.59983E+15,2,-31.12888,-147.77062,50.90487
1.59983E+15,1,-0.14112,-0.33058,-0.8345
1.59983E+15,2,-31.55614,-138.12677,49.6231
1.59983E+15,1,-0.15479,-0.26563,-0.79495
1.59983E+15,2,-29.48088,-132.38929,48.09717
1.59983E+15,1,-0.13623,-0.28809,-0.9219
1.59983E+15,2,-28.50429,-133.0607,47.05954
1.59983E+15,1,-0.21192,-0.34181,-1.01859
1.59983E+15,2,-30.45747,-133.0607,46.14399
1.59983E+15,1,-0.17774,-0.30079,-0.91702
1.59983E+15,2,-29.05362,-135.13596,47.36473
1.59983E+15,1,-0.24464,-0.2671,-0.88968
1.59983E+15,2,-27.58873,-135.56322,48.58547
1.59983E+15,1,-0.292,-0.25782,-0.85159
1.59983E+15,2,-28.87051,-129.0933,46.87643
1.59983E+15,1,-0.30763,-0.24268,-0.876
1.59983E+15,2,-27.22251,-124.45448,44.6791
1.59983E+15,1,-0.27296,-0.25489,-0.97366
1.59983E+15,2,-28.38221,-130.92441,44.1908
1.59983E+15,1,-0.32569,-0.30421,-1.02738
1.59983E+15,2,-28.50429,-135.56322,47.42576
1.59983E+15,1,-0.34669,-0.27296,-0.90042
1.59983E+15,2,-30.21332,-136.90603,48.52443
1.59983E+15,1,-0.37111,-0.23341,-0.77639
1.59983E+15,2,-30.27436,-136.29566,48.15821
1.59983E+15,1,-0.37062,-0.20362,-0.78176
1.59983E+15,2,-27.40562,-127.75048,46.57125
1.59983E+15,1,-0.41456,-0.2046,-0.88772
1.59983E+15,2,-29.29777,-123.1727,43.21421
1.59983E+15,1,-0.42579,-0.2588,-0.9263
1.59983E+15,2,-29.05362,-130.13092,44.6791
1.59983E+15,1,-0.46681,-0.29102,-0.98733
1.59983E+15,2,-30.70162,-136.60085,47.05954
1.59983E+15,1,-0.41847,-0.2046,-0.89065
1.59983E+15,2,-31.25095,-141.54485,50.11139
1.59983E+15,1,-0.49757,-0.16895,-0.72073
1.59983E+15,2,-30.03021,-137.08914,48.21924
1.59983E+15,1,-0.48195,-0.15577,-0.71194
1.59983E+15,2,-28.6874,-130.253,46.08295
1.59983E+15,1,-0.52541,-0.16163,-0.83792
1.59983E+15,2,-29.05362,-129.39848,44.86221
1.59983E+15,1,-0.58937,-0.17774,-0.92532
1.59983E+15,2,-30.21332,-132.75552,45.47258
1.59983E+15,1,-0.59963,-0.20118,-0.89651
1.59983E+15,2,-30.21332,-140.38514,47.73095
1.59983E+15,1,-0.53615,-0.1626,-0.76907
1.59983E+15,2,-31.80029,-143.13181,49.80621
1.59983E+15,1,-0.64064,-0.10791,-0.63088
1.59983E+15,2,-31.43406,-137.33329,48.28028
1.59983E+15,1,-0.59035,-0.07862,-0.56935
1.59983E+15,2,-28.01599,-131.77892,46.3271
1.59983E+15,1,-0.64309,-0.11035,-0.71682
1.59983E+15,2,-29.8471,-129.21537,43.70251
1.59983E+15,1,-0.68606,-0.146,-0.79202
1.59983E+15,2,-29.66399,-134.28144,45.8388
1.59983E+15,1,-0.70949,-0.15186,-0.75588
1.59983E+15,2,-30.94577,-138.85922,47.36473
1.59983E+15,1,-0.65236,-0.12549,-0.63527
1.59983E+15,2,-31.37303,-138.73714,48.15821
1.59983E+15,1,-0.7178,-0.03955,-0.53273
1.59983E+15,2,-29.78607,-136.47877,48.52443
1.59983E+15,1,-0.69485,-0.03027,-0.49611
1.59983E+15,2,-27.28355,-130.06989,46.08295
1.59983E+15,1,-0.70705,-0.0625,-0.68947
1.59983E+15,2,-27.16147,-127.56737,43.27525
1.59983E+15,1,-0.79202,-0.10303,-0.73391
1.59983E+15,2,-30.45747,-134.28144,44.74013
1.59983E+15,1,-0.83694,-0.08643,-0.64895
1.59983E+15,2,-29.90814,-141.11759,48.6465
1.59983E+15,1,-0.71194,-0.04785,-0.57033
1.59983E+15,2,-30.51851,-141.66692,48.95169
1.59983E+15,1,-0.79495,0.01514,-0.45509
1.59983E+15,2,-31.92236,-135.80737,46.57125
1.59983E+15,1,-0.75246,0.03223,-0.43751
1.59983E+15,2,-28.32118,-131.901,45.41154
1.59983E+15,1,-0.74807,-0.02832,-0.62648
1.59983E+15,2,-29.96918,-135.44115,44.92325
1.59983E+15,1,-0.91653,-0.04639,-0.66359
1.59983E+15,2,-31.43406,-140.141,46.57125
1.59983E+15,1,-0.84866,-0.0332,-0.54494
1.59983E+15,2,-32.04443,-145.20707,50.41658
1.59983E+15,1,-0.79788,0.01758,-0.41896
1.59983E+15,2,-31.37303,-145.51225,50.90487
1.59983E+15,1,-0.86819,0.07862,-0.26905
1.59983E+15,2,-28.74844,-137.57744,49.01273
1.59983E+15,1,-0.8218,0.08399,-0.32862
1.59983E+15,2,-27.77184,-135.92944,47.42576
1.59983E+15,1,-0.89895,-0.00537,-0.50246
1.59983E+15,2,-30.21332,-140.8124,48.6465
1.59983E+15,1,-0.9595,0.00977,-0.50783
1.59983E+15,2,-31.86132,-146.2447,50.05036
1.59983E+15,1,-0.85061,0.04443,-0.35011
1.59983E+15,2,-33.1431,-149.17447,51.39317
1.59983E+15,1,-0.9053,0.11377,-0.16065
1.59983E+15,2,-31.61718,-147.09922,52.4308
1.59983E+15,1,-0.81838,0.11377,-0.17774
1.59983E+15,2,-31.12888,-140.44618,49.31791
1.59983E+15,1,-0.86868,0.08301,-0.37648
1.59983E+15,2,-33.81451,-140.01892,46.87643
1.59983E+15,1,-1.03128,0.12305,-0.29054
1.59983E+15,2,-31.00681,-144.71877,49.68413
1.59983E+15,1,-0.92923,0.09668,-0.24952
1.59983E+15,2,-30.51851,-150.57833,50.2945
1.59983E+15,1,-0.93362,0.08692,-0.0669
1.59983E+15,2,-32.89895,-150.2121,51.69836
1.59983E+15,1,-0.84817,0.17188,0.04004
1.59983E+15,2,-28.80947,-139.34751,49.50102
1.59983E+15,1,-0.88821,0.13672,-0.14991
1.59983E+15,2,-29.54192,-135.31907,46.69332
1.59983E+15,1,-0.99515,0.09278,-0.21094
1.59983E+15,2,-33.1431,-138.85922,49.31791
1.59983E+15,1,-0.97464,0.11866,-0.21876
1.59983E+15,2,-32.28858,-144.35255,49.80621
1.59983E+15,1,-0.97366,0.16163,-0.01416
1.59983E+15,2,-32.95999,-148.07581,51.88147
1.59983E+15,1,-0.83596,0.19532,0.06055
1.59983E+15,2,-29.11466,-145.87848,52.18665
1.59983E+15,1,-0.90579,0.19532,0.03858
1.59983E+15,2,-31.25095,-140.07996,49.07376
1.59983E+15,1,-0.97464,0.19825,0.06787
1.59983E+15,2,-29.96918,-135.99048,49.07376
1.59983E+15,1,-0.94241,0.16456,-0.10645
1.59983E+15,2,-30.88473,-143.49803,51.14902
1.59983E+15,1,-0.99564,0.19971,0.04248
