Timestamp(us),Sensor id,Value 0,Value 1,Value 2  
1.59958E+15,1,0.02295,0.06006,-0.99173
1.59958E+15,2,0.06104,-0.30519,-0.18311
1.59958E+15,1,0.02344,0.05957,-0.99222
1.59958E+15,2,-0.06104,-0.42726,-0.18311
1.59958E+15,1,0.02197,0.06153,-0.98978
1.59958E+15,2,0,-0.42726,-0.12207
1.59958E+15,1,0.02344,0.05957,-0.99368
1.59958E+15,2,0,-0.4883,-0.24415
1.59958E+15,1,0.021,0.05957,-0.99173
1.59958E+15,2,-0.12207,-0.54933,-0.24415
1.59958E+15,1,0.02295,0.05957,-0.99173
1.59958E+15,2,0.24415,-0.24415,-0.12207
1.59958E+15,1,0.02246,0.06006,-0.99271
1.59958E+15,2,-0.06104,-0.42726,-0.30519
1.59958E+15,1,0.021,0.0586,-0.99075
1.59958E+15,2,0,-0.4883,-0.24415
1.59958E+15,1,0.02344,0.05957,-0.99271
1.59958E+15,2,0,-0.42726,-0.30519
1.59958E+15,1,0.021,0.05811,-0.99124
1.59958E+15,2,-0.06104,-0.36622,-0.24415
1.59958E+15,1,0.02197,0.0586,-0.99271
1.59958E+15,2,0.18311,-0.18311,-0.18311
1.59958E+15,1,0.02197,0.0586,-0.99222
1.59958E+15,2,-0.06104,-0.54933,-0.24415
1.59958E+15,1,0.02246,0.05811,-0.99075
1.59958E+15,2,0.24415,-0.12207,-0.18311
1.59958E+15,1,0.02246,0.0586,-0.99368
1.59958E+15,2,-0.18311,-0.54933,-0.24415
1.59958E+15,1,0.021,0.0586,-0.99026
1.59958E+15,2,0.06104,-0.36622,-0.12207
1.59958E+15,1,0.02295,0.05957,-0.99417
1.59958E+15,2,0,-0.24415,-0.24415
1.59958E+15,1,0.02344,0.05811,-0.99075
1.59958E+15,2,-0.18311,-0.54933,-0.30519
1.59958E+15,1,0.02344,0.0586,-0.99417
1.59958E+15,2,-0.06104,-0.4883,-0.24415
1.59958E+15,1,0.02246,0.05908,-0.99222
1.59958E+15,2,-0.12207,-0.4883,-0.30519
1.59958E+15,1,0.0166,0.06104,-0.99808
1.59958E+15,2,-0.4883,-1.34281,-0.36622
1.59958E+15,1,0.01221,0.0625,-1.00638
1.59958E+15,2,-0.67141,-2.01422,-0.30519
1.59958E+15,1,-0.00293,0.0708,-1.03421
1.59958E+15,2,-1.89215,-5.55437,-0.61037
1.59958E+15,1,-0.0249,0.08155,-1.08792
1.59958E+15,2,-4.57778,-14.46577,-1.34281
1.59958E+15,1,0.01123,0.07276,-1.09085
1.59958E+15,2,-7.26341,-24.96414,-2.19733
1.59958E+15,1,-0.02686,0.07617,-1.07132
1.59958E+15,2,-9.33866,-31.9834,-2.62459
1.59958E+15,1,0.00293,0.06983,-1.022
1.59958E+15,2,-11.29185,-38.75851,-3.11289
1.59958E+15,1,-0.0083,0.06738,-0.99857
1.59958E+15,2,-11.84118,-41.50517,-3.11289
1.59958E+15,1,-0.05371,0.0835,-1.03079
1.59958E+15,2,-13.48918,-43.88562,-3.17392
1.59958E+15,1,-0.05127,0.07178,-1.0474
1.59958E+15,2,-14.3437,-45.65569,-3.11289
1.59958E+15,1,-0.10645,0.1045,-1.07962
1.59958E+15,2,-15.25925,-47.4868,-2.56355
1.59958E+15,1,-0.10059,0.10694,-1.05814
1.59958E+15,2,-16.05274,-48.6465,-2.38044
1.59958E+15,1,-0.1167,0.10596,-1.02982
1.59958E+15,2,-15.07614,-47.05954,-1.03763
1.59958E+15,1,-0.10596,0.09375,-1.01712
1.59958E+15,2,-15.44237,-48.6465,-0.85452
1.59958E+15,1,-0.18067,0.1128,-1.06644
1.59958E+15,2,-15.9917,-46.9985,-1.22074
1.59958E+15,1,-0.15186,0.12256,-1.0723
1.59958E+15,2,-15.9917,-47.4868,-1.28178
1.59958E+15,1,-0.12305,0.11621,-1.02933
1.59958E+15,2,-15.32029,-46.3271,-2.31941
1.59958E+15,1,-0.06983,0.09278,-0.98489
1.59958E+15,2,-15.19822,-49.1348,-2.56355
1.59958E+15,1,-0.09961,0.09131,-0.98148
1.59958E+15,2,-15.80859,-48.40236,-2.99081
1.59958E+15,1,-0.11377,0.09522,-0.99515
1.59958E+15,2,-16.78518,-47.36473,-4.51674
1.59958E+15,1,-0.12745,0.1001,-0.99954
1.59958E+15,2,-15.56444,-47.42576,-4.08948
1.59958E+15,1,-0.09766,0.08936,-0.97464
1.59958E+15,2,-14.16059,-46.93747,-3.47911
1.59958E+15,1,-0.14161,0.08985,-0.96976
1.59958E+15,2,-13.8554,-46.63228,-3.60118
