\,Sensor id,Value 0,Value 1,Value 2  
1.59983E+15,2,-26.5511,-116.82485,41.3831
1.59983E+15,1,-0.29005,-0.29933,-0.96878
1.59983E+15,2,-27.34458,-123.78307,42.60384
1.59983E+15,1,-0.31886,-0.28126,-0.89212
1.59983E+15,2,-27.77184,-122.74545,43.0311
1.59983E+15,1,-0.34278,-0.21192,-0.80667
1.59983E+15,2,-26.36799,-118.77804,42.35969
1.59983E+15,1,-0.32423,-0.18702,-0.78372
1.59983E+15,2,-24.47584,-114.56648,40.52858
1.59983E+15,1,-0.33155,-0.22657,-0.8135
1.59983E+15,2,-23.68236,-105.53301,36.80532
1.59983E+15,1,-0.45656,-0.27589,-0.96634
1.59983E+15,2,-23.92651,-106.93686,37.65984
1.59983E+15,1,-0.52785,-0.28858,-1.05325
1.59983E+15,2,-25.75762,-115.60411,40.71169
1.59983E+15,1,-0.4214,-0.26368,-0.97269
1.59983E+15,2,-27.34458,-126.22456,44.86221
1.59983E+15,1,-0.44679,-0.22071,-0.89309
1.59983E+15,2,-29.1757,-131.35166,46.63228
1.59983E+15,1,-0.39991,-0.15332,-0.79592
1.59983E+15,2,-28.07703,-131.4127,46.02191
1.59983E+15,1,-0.46876,-0.15772,-0.72756
1.59983E+15,2,-27.40562,-122.62337,41.99347
1.59983E+15,1,-0.55422,-0.17872,-0.7344
1.59983E+15,2,-25.3914,-112.97952,39.42991
1.59983E+15,1,-0.52882,-0.18165,-0.81936
1.59983E+15,2,-23.92651,-115.17685,39.85717
1.59983E+15,1,-0.53322,-0.19727,-0.91458
1.59983E+15,2,-26.73421,-120.97537,40.95584
1.59983E+15,1,-0.55129,-0.20215,-0.88528
1.59983E+15,2,-29.48088,-126.77389,42.72591
1.59983E+15,1,-0.56154,-0.17725,-0.76321
1.59983E+15,2,-29.54192,-132.20618,45.04532
1.59983E+15,1,-0.68703,-0.14112,-0.63869
1.59983E+15,2,-29.23673,-128.48292,43.76354
1.59983E+15,1,-0.59914,-0.13233,-0.55031
1.59983E+15,2,-25.75762,-121.70782,42.5428
