\,Sensor id,Value 0,Value 1,Value 2  
1.59982E+15,1,0.20069,-0.38868,-0.89163
1.59982E+15,2,0,-0.18311,-0.18311
1.59982E+15,1,0.20118,-0.38917,-0.89212
1.59982E+15,2,0.06104,0,-0.12207
1.59982E+15,1,0.20215,-0.38917,-0.89309
1.59982E+15,2,0,-0.12207,-0.18311
1.59982E+15,3,-12.26,-17.98,45.67
1.59982E+15,1,0.20264,-0.38868,-0.89407
1.59982E+15,2,-0.24415,-0.4883,-0.24415
1.59982E+15,1,0.20167,-0.38917,-0.89358
1.59982E+15,2,0,-0.30519,-0.18311
1.59982E+15,1,0.20215,-0.38917,-0.89456
1.59982E+15,2,-0.30519,-0.73244,-0.30519
1.59982E+15,1,0.20118,-0.38966,-0.89358
1.59982E+15,2,0.18311,-0.06104,-0.06104
1.59982E+15,1,0.20069,-0.3882,-0.89407
1.59982E+15,2,-0.18311,-0.61037,-0.18311
1.59982E+15,1,0.20069,-0.38771,-0.89261
1.59982E+15,2,-0.12207,-0.4883,-0.18311
1.59982E+15,1,0.20069,-0.38966,-0.89309
1.59982E+15,2,0.30519,0.12207,0
1.59982E+15,1,0.19971,-0.3882,-0.89261
1.59982E+15,2,-0.12207,-0.42726,-0.18311
1.59982E+15,1,0.20069,-0.3882,-0.89163
1.59982E+15,2,0,-0.24415,-0.24415
1.59982E+15,1,0.20069,-0.38868,-0.89309
1.59982E+15,2,-0.06104,-0.18311,-0.18311
1.59982E+15,3,-12.24,-17.99,45.75
1.59982E+15,1,0.20069,-0.38966,-0.89358
1.59982E+15,2,0,-0.24415,-0.24415
1.59982E+15,1,0.20118,-0.38868,-0.89358
1.59982E+15,2,0,-0.24415,-0.24415
1.59982E+15,1,0.20264,-0.38917,-0.89505
1.59982E+15,2,-0.06104,-0.30519,-0.24415
1.59982E+15,1,0.20264,-0.38868,-0.89505
1.59982E+15,2,-0.30519,-0.73244,-0.30519
1.59982E+15,1,0.20215,-0.3882,-0.89407
1.59982E+15,2,-0.06104,-0.4883,-0.24415
1.59982E+15,1,0.20215,-0.38966,-0.89505
1.59982E+15,2,-0.12207,-0.4883,-0.18311
1.59982E+15,1,0.20069,-0.38917,-0.89358
1.59982E+15,2,0,-0.30519,-0.12207
1.59982E+15,1,0.18799,-0.3965,-0.91995
1.59982E+15,2,-0.06104,-1.1597,0.36622
1.59982E+15,1,0.14258,-0.4297,-1.03519
1.59982E+15,2,-2.31941,-8.05689,3.05185
1.59982E+15,1,0.14454,-0.47707,-1.13968
1.59982E+15,2,-7.81274,-25.3914,9.15555
1.59982E+15,3,-11.64,-17.83,45.73
1.59982E+15,1,0.13428,-0.47169,-1.19535
1.59982E+15,2,-11.59703,-42.90902,15.01511
1.59982E+15,1,0.21192,-0.44728,-1.11087
1.59982E+15,2,-14.28266,-61.70843,21.85125
1.59982E+15,1,0.13868,-0.41945,-0.98245
1.59982E+15,2,-16.96829,-74.40413,26.24592
1.59982E+15,1,0.11328,-0.39991,-0.96438
1.59982E+15,2,-18.73836,-81.66753,29.05362
1.59982E+15,1,0.14454,-0.43068,-0.96438
1.59982E+15,2,-20.87466,-88.68679,32.83792
1.59982E+15,1,0.20167,-0.42482,-0.98831
