Timestamp(us),Sensor id,Value 0,Value 1,Value 2  
1.59958E+15,3,4.92,-4.61,45.51
1.59958E+15,1,0.22217,-0.24171,-0.93802
1.59958E+15,2,0.30519,0,-0.06104
1.59958E+15,1,0.22022,-0.24219,-0.93948
1.59958E+15,2,-0.06104,-0.42726,-0.24415
1.59958E+15,1,0.22169,-0.24219,-0.94046
1.59958E+15,2,-0.12207,-0.54933,-0.24415
1.59958E+15,1,0.22071,-0.24171,-0.93899
1.59958E+15,2,0.12207,-0.24415,-0.18311
1.59958E+15,1,0.22071,-0.23975,-0.93802
1.59958E+15,2,0.18311,-0.30519,-0.18311
1.59958E+15,1,0.22217,-0.24171,-0.93851
1.59958E+15,2,-0.12207,-0.61037,-0.30519
1.59958E+15,1,0.22266,-0.24024,-0.93851
1.59958E+15,2,0,-0.42726,-0.24415
1.59958E+15,1,0.22169,-0.24073,-0.93997
1.59958E+15,2,0.06104,-0.42726,-0.18311
1.59958E+15,1,0.22169,-0.24073,-0.93899
1.59958E+15,2,0.06104,-0.42726,-0.24415
1.59958E+15,1,0.22217,-0.24268,-0.93948
1.59958E+15,2,0.06104,-0.42726,-0.18311
1.59958E+15,1,0.2212,-0.24219,-0.93948
1.59958E+15,2,0,-0.36622,-0.24415
1.59958E+15,3,4.84,-4.7,45.54
1.59958E+15,1,0.22217,-0.24268,-0.93948
1.59958E+15,2,0.06104,-0.30519,-0.24415
1.59958E+15,1,0.22169,-0.24219,-0.93851
1.59958E+15,2,0,-0.36622,-0.18311
1.59958E+15,1,0.22169,-0.24073,-0.93948
1.59958E+15,2,0.06104,-0.42726,-0.18311
1.59958E+15,1,0.22022,-0.24024,-0.93899
1.59958E+15,2,0.18311,-0.30519,-0.18311
1.59958E+15,1,0.22071,-0.24073,-0.93899
1.59958E+15,2,0.36622,-0.12207,-0.12207
1.59958E+15,1,0.22169,-0.24268,-0.93997
1.59958E+15,2,0.42726,-0.06104,-0.06104
1.59958E+15,1,0.22266,-0.24171,-0.93899
1.59958E+15,2,0.12207,-0.42726,-0.24415
1.59958E+15,1,0.22022,-0.24366,-0.93948
1.59958E+15,2,-0.06104,-0.61037,-0.30519
1.59958E+15,1,0.2212,-0.24122,-0.93802
1.59958E+15,2,-0.18311,-0.67141,-0.30519
1.59958E+15,1,0.21973,-0.24171,-0.93655
1.59958E+15,2,-0.06104,-0.54933,-0.24415
1.59958E+15,3,4.94,-4.6,45.46
1.59958E+15,1,0.2212,-0.24219,-0.93802
1.59958E+15,2,0.12207,-0.24415,-0.18311
1.59958E+15,1,0.22169,-0.24171,-0.93899
1.59958E+15,2,0.24415,-0.12207,-0.12207
1.59958E+15,1,0.22217,-0.24219,-0.93851
1.59958E+15,2,0.30519,0.06104,-0.12207
1.59958E+15,1,0.22217,-0.24268,-0.93948
1.59958E+15,2,-0.06104,-0.36622,-0.24415
1.59958E+15,1,0.22266,-0.24171,-0.94046
1.59958E+15,2,-0.18311,-0.61037,-0.36622
1.59958E+15,1,0.22217,-0.24219,-0.94192
1.59958E+15,2,-0.06104,-0.42726,-0.24415
1.59958E+15,1,0.21924,-0.24268,-0.94339
1.59958E+15,2,-0.06104,-0.36622,-0.18311
1.59958E+15,1,0.21192,-0.24171,-0.96194
1.59958E+15,2,-0.06104,-1.22074,0.18311
1.59958E+15,1,0.20655,-0.24512,-0.9805
1.59958E+15,2,-0.79348,-3.84533,0.42726
1.59958E+15,1,0.20362,-0.25196,-1.00784
1.59958E+15,2,-1.648,-8.17896,1.28178
1.59958E+15,3,4.93,-4.56,45.48
1.59958E+15,1,0.20557,-0.25098,-1.01419
1.59958E+15,2,-2.56355,-13.36711,2.19733
1.59958E+15,1,0.21094,-0.24805,-0.97855
1.59958E+15,2,-3.54015,-17.82281,3.05185
1.59958E+15,1,0.18067,-0.24122,-0.98392
1.59958E+15,2,-4.27259,-20.63051,3.72326
1.59958E+15,1,0.18751,-0.24268,-0.99173
1.59958E+15,2,-5.73748,-24.96414,4.33363
1.59958E+15,1,0.23975,-0.24805,-0.96487
1.59958E+15,2,-5.98163,-27.16147,4.82192
1.59958E+15,1,0.23585,-0.24854,-0.95169
1.59958E+15,2,-6.40889,-31.18992,5.85955
1.59958E+15,1,0.15284,-0.24219,-0.97708
1.59958E+15,2,-7.32444,-32.53273,5.73748
1.59958E+15,1,0.16407,-0.22999,-0.96731
1.59958E+15,2,-6.592,-30.3354,5.37126
1.59958E+15,1,0.25538,-0.23536,-0.89651
1.59958E+15,2,-5.55437,-31.18992,6.1037
1.59958E+15,1,0.18067,-0.25245,-0.95218
1.59958E+15,2,-7.50755,-33.87555,6.71407
1.59958E+15,3,10.93,-4.47,44.9
1.59958E+15,1,0.1836,-0.24317,-0.9429
1.59958E+15,2,-7.81274,-32.83792,6.22578
1.59958E+15,1,0.26075,-0.23194,-0.87503
1.59958E+15,2,-5.79852,-32.41066,6.71407
1.59958E+15,1,0.17139,-0.23682,-0.90139
1.59958E+15,2,-6.592,-33.1431,6.65304
1.59958E+15,1,0.10547,-0.23341,-0.96194
1.59958E+15,2,-7.08029,-29.66399,5.98163
1.59958E+15,1,0.21632,-0.22217,-0.92434
1.59958E+15,2,-5.49333,-29.48088,6.40889
1.59958E+15,1,0.13868,-0.24317,-0.98343
1.59958E+15,2,-6.1037,-32.28858,7.26341
1.59958E+15,1,0.10987,-0.23438,-0.97903
1.59958E+15,2,-7.50755,-31.61718,6.1037
1.59958E+15,1,0.17579,-0.22364,-0.92239
1.59958E+15,2,-6.28681,-30.64058,6.53096
1.59958E+15,1,0.12842,-0.21973,-0.93948
1.59958E+15,2,-6.40889,-30.39644,6.40889
1.59958E+15,1,0.0835,-0.22559,-0.99564
1.59958E+15,2,-7.01926,-30.27436,5.43229
1.59958E+15,3,4.41,-3.96,42.5
1.59958E+15,1,0.17188,-0.22022,-0.93851
1.59958E+15,2,-6.65304,-31.12888,5.79852
1.59958E+15,1,0.14551,-0.23243,-0.95413
1.59958E+15,2,-5.98163,-32.95999,6.46992
1.59958E+15,1,0.1001,-0.21583,-0.94876
1.59958E+15,2,-7.20237,-31.18992,5.49333
1.59958E+15,1,0.11914,-0.20655,-0.92874
1.59958E+15,2,-5.98163,-29.90814,5.00504
1.59958E+15,1,0.05615,-0.22559,-0.99124
1.59958E+15,2,-5.92059,-28.74844,5.12711
1.59958E+15,1,0.08106,-0.23487,-1.00882
1.59958E+15,2,-6.04266,-27.5277,4.82192
1.59958E+15,1,0.14551,-0.22413,-0.94143
1.59958E+15,2,-7.01926,-31.55614,5.98163
1.59958E+15,1,0.06641,-0.20997,-0.94534
1.59958E+15,2,-6.71407,-31.06784,6.04266
1.59958E+15,1,0.06446,-0.20118,-0.94143
1.59958E+15,2,-5.85955,-28.87051,5.24918
1.59958E+15,1,0.01856,-0.21778,-1.00735
1.59958E+15,2,-4.82192,-27.40562,5.31022
1.59958E+15,3,1.51,-3.68,40.82
1.59958E+15,1,0.03613,-0.22803,-1.00784
1.59958E+15,2,-5.61541,-27.95495,5.31022
1.59958E+15,1,0.11182,-0.21876,-0.95511
1.59958E+15,2,-6.04266,-31.00681,6.34785
1.59958E+15,1,0.06494,-0.20801,-0.97415
1.59958E+15,2,-6.53096,-33.38725,6.95822
1.59958E+15,1,0.04199,-0.20215,-0.94974
1.59958E+15,2,-5.49333,-29.54192,5.61541
1.59958E+15,1,0.0542,-0.20167,-0.95364
1.59958E+15,2,-5.73748,-30.76266,5.61541
1.59958E+15,1,0.01123,-0.2212,-0.99417
1.59958E+15,2,-5.18815,-27.89392,5.06607
1.59958E+15,1,0.07715,-0.21778,-0.95657
1.59958E+15,2,-5.37126,-26.12384,4.69985
1.59958E+15,1,0.0249,-0.20948,-0.96341
1.59958E+15,2,-6.46992,-28.87051,5.24918
1.59958E+15,1,0.00293,-0.20948,-0.9639
1.59958E+15,2,-6.28681,-27.83288,5.24918
1.59958E+15,1,0.04151,-0.21094,-0.96341
1.59958E+15,2,-5.92059,-28.62636,5.67644
1.59958E+15,3,-1.05,-3.74,41.09
1.59958E+15,1,-0.02441,-0.21436,-1.022
1.59958E+15,2,-5.73748,-28.62636,5.79852
1.59958E+15,1,0.00879,-0.20606,-0.97659
1.59958E+15,2,-5.55437,-28.50429,5.67644
1.59958E+15,1,0.02002,-0.1963,-0.95413
1.59958E+15,2,-5.55437,-29.90814,6.16474
1.59958E+15,1,0.01025,-0.20362,-0.95853
1.59958E+15,2,-5.49333,-29.23673,5.79852
1.59958E+15,1,0.03125,-0.19776,-0.97464
1.59958E+15,2,-5.67644,-29.8471,5.98163
1.59958E+15,1,-0.02002,-0.20118,-1.00198
1.59958E+15,2,-5.67644,-30.39644,6.22578
1.59958E+15,1,-0.07617,-0.2085,-1.01419
1.59958E+15,2,-5.31022,-28.26014,5.61541
1.59958E+15,1,-0.02393,-0.19825,-0.96927
1.59958E+15,2,-5.92059,-29.96918,5.61541
1.59958E+15,1,-0.05567,-0.20118,-0.98001
1.59958E+15,2,-5.79852,-29.90814,5.67644
1.59958E+15,1,-0.03125,-0.19678,-0.95755
1.59958E+15,2,-6.28681,-29.54192,5.12711
1.59958E+15,1,0.00098,-0.19776,-0.94534
1.59958E+15,2,-6.04266,-31.86132,6.22578
1.59958E+15,3,-0.58,-4.26,40.45
1.59958E+15,1,-0.04053,-0.1919,-1.0015
1.59958E+15,2,-6.65304,-33.26518,6.40889
1.59958E+15,1,-0.02686,-0.18799,-0.9595
1.59958E+15,2,-5.92059,-29.48088,5.12711
1.59958E+15,1,-0.05518,-0.18458,-0.96341
1.59958E+15,2,-5.06607,-27.77184,5.24918
1.59958E+15,1,-0.06299,-0.19044,-0.94388
1.59958E+15,2,-4.88296,-25.33036,4.57778
1.59958E+15,1,-0.00732,-0.18458,-0.94974
1.59958E+15,2,-5.18815,-26.42903,4.88296
1.59958E+15,1,-0.06983,-0.18653,-0.9761
1.59958E+15,2,-5.06607,-25.33036,4.4557
1.59958E+15,1,-0.05957,-0.18604,-0.98636
1.59958E+15,2,-5.37126,-25.8797,4.39467
1.59958E+15,1,-0.06543,-0.18506,-0.98294
1.59958E+15,2,-5.37126,-27.58873,4.82192
1.59958E+15,1,-0.06201,-0.18848,-0.98978
1.59958E+15,2,-5.18815,-27.58873,4.944
1.59958E+15,1,-0.06787,-0.18506,-0.98831
1.59958E+15,2,-5.85955,-31.31199,5.85955
1.59958E+15,3,-3.63,-3.3,38.39
1.59958E+15,1,-0.0918,-0.19239,-0.99905
1.59958E+15,2,-5.85955,-31.12888,5.92059
1.59958E+15,1,-0.05225,-0.18995,-0.9595
1.59958E+15,2,-6.46992,-30.57955,5.37126
1.59958E+15,1,-0.11231,-0.17872,-0.95218
1.59958E+15,2,-6.22578,-31.55614,6.04266
1.59958E+15,1,-0.14747,-0.17969,-0.96048
1.59958E+15,2,-5.92059,-30.64058,5.79852
1.59958E+15,1,-0.05274,-0.17774,-0.93753
1.59958E+15,2,-5.61541,-29.1757,5.37126
1.59958E+15,1,-0.09815,-0.17774,-0.98294
1.59958E+15,2,-5.79852,-30.39644,5.79852
1.59958E+15,1,-0.11914,-0.17676,-0.9678
1.59958E+15,2,-6.04266,-29.05362,5.24918
1.59958E+15,1,-0.09717,-0.17335,-0.95267
1.59958E+15,2,-5.49333,-28.80947,5.67644
1.59958E+15,1,-0.13428,-0.17627,-0.96731
1.59958E+15,2,-5.67644,-27.5277,5.12711
1.59958E+15,1,-0.13623,-0.18067,-0.97464
1.59958E+15,2,-5.37126,-26.91733,5.06607
1.59958E+15,3,-8.02,-2.59,36.08
1.59958E+15,1,-0.13282,-0.17188,-0.96194
1.59958E+15,2,-5.85955,-29.48088,5.61541
1.59958E+15,1,-0.16846,-0.1753,-0.99124
1.59958E+15,2,-5.61541,-29.54192,5.85955
1.59958E+15,1,-0.12989,-0.16407,-0.97464
1.59958E+15,2,-5.49333,-30.15229,6.16474
1.59958E+15,1,-0.15674,-0.16407,-0.97855
